,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS
27135,R245A,R051,01-06-00,59 ST,456NQRW,09/20/2019,3363333,4737562,09/19/2019,3362788.0,4736397.0,545.0,1165.0
27137,R245A,R051,01-06-01,59 ST,456NQRW,09/15/2019,117483888,568652,09/14/2019,117483852.0,568159.0,36.0,493.0
27138,R245A,R051,01-06-01,59 ST,456NQRW,09/16/2019,117483907,569088,09/15/2019,117483888.0,568652.0,19.0,436.0
27139,R245A,R051,01-06-01,59 ST,456NQRW,09/17/2019,117484029,570360,09/16/2019,117483907.0,569088.0,122.0,1272.0
27140,R245A,R051,01-06-01,59 ST,456NQRW,09/18/2019,117484148,571827,09/17/2019,117484029.0,570360.0,119.0,1467.0
27141,R245A,R051,01-06-01,59 ST,456NQRW,09/19/2019,117484266,573144,09/18/2019,117484148.0,571827.0,118.0,1317.0
27142,R245A,R051,01-06-01,59 ST,456NQRW,09/20/2019,117484386,574489,09/19/2019,117484266.0,573144.0,120.0,1345.0
27242,R247,R178,01-00-00,77 ST,6,09/15/2019,2506717,10900358,09/14/2019,2506115.0,10898819.0,602.0,1539.0
27243,R247,R178,01-00-00,77 ST,6,09/16/2019,2507256,10901570,09/15/2019,2506717.0,10900358.0,539.0,1212.0
27244,R247,R178,01-00-00,77 ST,6,09/17/2019,2508182,10905747,09/16/2019,2507256.0,10901570.0,926.0,4177.0
27245,R247,R178,01-00-00,77 ST,6,09/18/2019,2509291,10910143,09/17/2019,2508182.0,10905747.0,1109.0,4396.0
27246,R247,R178,01-00-00,77 ST,6,09/19/2019,2510437,10914656,09/18/2019,2509291.0,10910143.0,1146.0,4513.0
27247,R247,R178,01-00-00,77 ST,6,09/20/2019,2511642,10919185,09/19/2019,2510437.0,10914656.0,1205.0,4529.0
27249,R247,R178,01-00-01,77 ST,6,09/15/2019,7319035,26392457,09/14/2019,7318483.0,26391494.0,552.0,963.0
27250,R247,R178,01-00-01,77 ST,6,09/16/2019,7319540,26393168,09/15/2019,7319035.0,26392457.0,505.0,711.0
27251,R247,R178,01-00-01,77 ST,6,09/17/2019,7320624,26395740,09/16/2019,7319540.0,26393168.0,1084.0,2572.0
27252,R247,R178,01-00-01,77 ST,6,09/18/2019,7321714,26398561,09/17/2019,7320624.0,26395740.0,1090.0,2821.0
27253,R247,R178,01-00-01,77 ST,6,09/19/2019,7322897,26401328,09/18/2019,7321714.0,26398561.0,1183.0,2767.0
27254,R247,R178,01-00-01,77 ST,6,09/20/2019,7324146,26404108,09/19/2019,7322897.0,26401328.0,1249.0,2780.0
27256,R247,R178,01-00-02,77 ST,6,09/15/2019,1047850,2109204,09/14/2019,1047438.0,2108691.0,412.0,513.0
27257,R247,R178,01-00-02,77 ST,6,09/16/2019,1048228,2109604,09/15/2019,1047850.0,2109204.0,378.0,400.0
27258,R247,R178,01-00-02,77 ST,6,09/17/2019,1049159,2111257,09/16/2019,1048228.0,2109604.0,931.0,1653.0
27259,R247,R178,01-00-02,77 ST,6,09/18/2019,1050159,2113001,09/17/2019,1049159.0,2111257.0,1000.0,1744.0
27260,R247,R178,01-00-02,77 ST,6,09/19/2019,1051198,2114819,09/18/2019,1050159.0,2113001.0,1039.0,1818.0
27261,R247,R178,01-00-02,77 ST,6,09/20/2019,1052263,2116623,09/19/2019,1051198.0,2114819.0,1065.0,1804.0
27263,R247,R178,01-00-03,77 ST,6,09/15/2019,788895,2095286,09/14/2019,788669.0,2094827.0,226.0,459.0
27264,R247,R178,01-00-03,77 ST,6,09/16/2019,789093,2095644,09/15/2019,788895.0,2095286.0,198.0,358.0
27265,R247,R178,01-00-03,77 ST,6,09/17/2019,789759,2097021,09/16/2019,789093.0,2095644.0,666.0,1377.0
27266,R247,R178,01-00-03,77 ST,6,09/18/2019,790427,2098469,09/17/2019,789759.0,2097021.0,668.0,1448.0
27267,R247,R178,01-00-03,77 ST,6,09/19/2019,791110,2100042,09/18/2019,790427.0,2098469.0,683.0,1573.0
27268,R247,R178,01-00-03,77 ST,6,09/20/2019,791991,2101609,09/19/2019,791110.0,2100042.0,881.0,1567.0
27270,R247,R178,01-03-00,77 ST,6,09/15/2019,563774,2508965,09/14/2019,563516.0,2508026.0,258.0,939.0
27271,R247,R178,01-03-00,77 ST,6,09/16/2019,563978,2509651,09/15/2019,563774.0,2508965.0,204.0,686.0
27272,R247,R178,01-03-00,77 ST,6,09/17/2019,564521,2511898,09/16/2019,563978.0,2509651.0,543.0,2247.0
27273,R247,R178,01-03-00,77 ST,6,09/18/2019,565096,2514377,09/17/2019,564521.0,2511898.0,575.0,2479.0
27274,R247,R178,01-03-00,77 ST,6,09/19/2019,565717,2516826,09/18/2019,565096.0,2514377.0,621.0,2449.0
27275,R247,R178,01-03-00,77 ST,6,09/20/2019,566313,2519602,09/19/2019,565717.0,2516826.0,596.0,2776.0
27277,R247,R178,01-03-01,77 ST,6,09/15/2019,916387,3677343,09/14/2019,916030.0,3676294.0,357.0,1049.0
27278,R247,R178,01-03-01,77 ST,6,09/16/2019,916688,3678243,09/15/2019,916387.0,3677343.0,301.0,900.0
27279,R247,R178,01-03-01,77 ST,6,09/17/2019,917381,3680817,09/16/2019,916688.0,3678243.0,693.0,2574.0
27280,R247,R178,01-03-01,77 ST,6,09/18/2019,918132,3683564,09/17/2019,917381.0,3680817.0,751.0,2747.0
27281,R247,R178,01-03-01,77 ST,6,09/19/2019,918531,3686359,09/18/2019,918132.0,3683564.0,399.0,2795.0
27282,R247,R178,01-03-01,77 ST,6,09/20/2019,918915,3688391,09/19/2019,918531.0,3686359.0,384.0,2032.0
27284,R247,R178,01-03-02,77 ST,6,09/15/2019,1838124,15679509,09/14/2019,1837803.0,15677378.0,321.0,2131.0
