,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS,stationline,Latitude,Longitude
126,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/15/2019,2366,0,09/14/2019,2366.0,0.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
127,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/16/2019,2367,0,09/15/2019,2366.0,0.0,1.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
128,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/17/2019,2368,0,09/16/2019,2367.0,0.0,1.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
129,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/18/2019,2368,0,09/17/2019,2368.0,0.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
130,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/19/2019,2370,0,09/18/2019,2368.0,0.0,2.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
131,A081,R028,04-05-00,FULTON ST,2345ACJZ,09/20/2019,2371,0,09/19/2019,2370.0,0.0,1.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
132,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/15/2019,1,663,09/14/2019,1.0,662.0,0.0,1.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
133,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/16/2019,1,664,09/15/2019,1.0,663.0,0.0,1.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
134,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/17/2019,1,664,09/16/2019,1.0,664.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
135,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/18/2019,1,664,09/17/2019,1.0,664.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
136,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/19/2019,1,664,09/18/2019,1.0,664.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
137,A081,R028,04-05-01,FULTON ST,2345ACJZ,09/20/2019,1,664,09/19/2019,1.0,664.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
138,A082,R028,05-05-00,FULTON ST,2345ACJZ,09/15/2019,33554902,16777216,09/14/2019,33554902.0,16777216.0,0.0,0.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
