,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,LowIncomeUnits
700,61627,808861.0,17,MONROE STREET,Brooklyn,11238.0,40.684596,-73.958229,57
701,59382,239514.0,1960,EAST 7 STREET,Brooklyn,11223.0,40.603084,-73.96508299999999,38
702,59382,239515.0,1965,EAST 7 STREET,Brooklyn,11223.0,40.60298,-73.965039,35
703,63356,216177.0,761,BUSHWICK AVENUE,Brooklyn,11221.0,40.69555,-73.929048,68
704,65110,374733.0,313,ST MARKS AVENUE,Brooklyn,11238.0,40.677772,-73.964831,15
705,65116,331663.0,387,MANHATTAN AVENUE,Brooklyn,11211.0,40.717677,-73.946625,3
706,65072,977416.0,785,DEKALB AVENUE,Brooklyn,11221.0,40.692163,-73.944572,14
707,58671,976883.0,179,THROOP AVENUE,Brooklyn,11206.0,40.698451,-73.943986,89
708,62303,373818.0,1614,ST JOHNS PLACE,Brooklyn,11233.0,40.67021,-73.924302,32
709,65124,956113.0,618,BUSHWICK AVENUE,Brooklyn,11206.0,40.698207000000004,-73.933899,20
710,61902,974040.0,475,CLERMONT AVENUE,Brooklyn,11238.0,40.683304,-73.968891,73
711,65136,952588.0,73,MONTROSE AVENUE,Brooklyn,11206.0,40.706967,-73.94707,8
712,52735,810153.0,330,HINSDALE STREET,Brooklyn,11207.0,40.66684,-73.899405,148
713,51950,281922.0,17,EAST 92 STREET,Brooklyn,11212.0,40.663607,-73.929435,1
714,51950,324387.0,978,LENOX ROAD,Brooklyn,11212.0,40.656279999999995,-73.923229,1
715,51950,367956.0,556,SCHENECTADY AVENUE,Brooklyn,11203.0,40.659855,-73.934186,1
716,44332,973750.0,1900A,PARK PLACE,Brooklyn,11233.0,40.671483,-73.914794,7
717,44332,973751.0,1900B,PARK PLACE,Brooklyn,11233.0,40.671483,-73.914794,10
718,44332,975662.0,416,THOMAS S BOYLAND STREET,Brooklyn,11233.0,40.671009999999995,-73.914128,8
719,61655,972972.0,123,HOPE STREET,Brooklyn,11211.0,40.712295000000005,-73.953295,25
720,52989,956174.0,635,4 AVENUE,Brooklyn,11232.0,40.663925,-73.99440899999999,19
721,58756,968816.0,977,MANHATTAN AVENUE,Brooklyn,11222.0,40.732565,-73.95465899999999,3
722,58864,311887.0,450,HERZL STREET,Brooklyn,11212.0,40.658553000000005,-73.912767,6
723,58864,311892.0,463,HERZL STREET,Brooklyn,11212.0,40.658295,-73.912681,16
724,58864,329095.0,30,LOTT AVENUE,Brooklyn,11212.0,40.657175,-73.912852,4
725,58864,329139.0,54,LOTT AVENUE,Brooklyn,11212.0,40.657312,-73.91193299999999,6
726,58864,344530.0,80,NEWPORT STREET,Brooklyn,11212.0,40.65883,-73.91244300000001,6
727,58864,366659.0,903,SARATOGA AVENUE,Brooklyn,11212.0,40.658302,-73.914631,11
728,58864,378230.0,2255,STRAUSS STREET,Brooklyn,11212.0,40.658417,-73.913668,6
729,58864,378231.0,2256,STRAUSS STREET,Brooklyn,11212.0,40.658414,-73.913687,6
730,63369,213417.0,500,BRIGHTWATER COURT,Brooklyn,11235.0,40.575745,-73.96221700000001,0
731,60779,974205.0,911,ERSKINE STREET,Brooklyn,11239.0,40.655151000000004,-73.867703,266
732,59004,970803.0,541,4 AVENUE,Brooklyn,11215.0,40.666645,-73.991799,27
733,61713,966422.0,845,GRAND STREET,Brooklyn,11211.0,40.712187,-73.93978299999999,8
734,58793,974501.0,500,GATES AVENUE,Brooklyn,11216.0,40.686746,-73.945939,68
735,61016,945941.0,10,MONTIETH STREET,Brooklyn,11206.0,40.701357,-73.93649599999999,100
736,59031,131213.0,76,5 AVENUE,Brooklyn,11217.0,40.680690999999996,-73.977574,6
737,59031,208771.0,320,BERGEN STREET,Brooklyn,11217.0,40.683104,-73.981208,3
738,59031,208772.0,322,BERGEN STREET,Brooklyn,11217.0,40.683082,-73.981154,10
739,59031,208777.0,332,BERGEN STREET,Brooklyn,11217.0,40.682975,-73.980876,8
740,59031,355781.0,643,PRESIDENT STREET,Brooklyn,11215.0,40.676066,-73.98161400000001,10
741,59031,383808.0,677,UNION STREET,Brooklyn,11215.0,40.677107,-73.982244,8
742,59031,383810.0,680,UNION STREET,Brooklyn,11215.0,40.676689,-73.981206,10
743,59031,388137.0,579,WARREN STREET,Brooklyn,11217.0,40.681591,-73.981392,8
744,58697,967724.0,146,PIERREPONT STREET,Brooklyn,11201.0,40.69477,-73.99148199999999,18
745,65064,951678.0,126,INDIA STREET,Brooklyn,11222.0,40.732236,-73.955442,2
746,58980,197971.0,271,BAINBRIDGE STREET,Brooklyn,11233.0,40.681515000000005,-73.926362,12
747,58980,197979.0,281,BAINBRIDGE STREET,Brooklyn,11233.0,40.681605,-73.925551,8
748,58980,197980.0,283,BAINBRIDGE STREET,Brooklyn,11233.0,40.681613,-73.92548599999999,7
749,58980,197981.0,285,BAINBRIDGE STREET,Brooklyn,11233.0,40.681621,-73.92541700000001,8
750,65080,956493.0,210,JAVA STREET,Brooklyn,11222.0,40.731801000000004,-73.952426,2
751,49716,207180.0,825,BEDFORD AVENUE,Brooklyn,11205.0,40.695657000000004,-73.956347,4
752,49716,247933.0,83,EAST 18 STREET,Brooklyn,11226.0,40.649155,-73.963012,7
753,49716,294186.0,892,FLUSHING AVENUE,Brooklyn,11206.0,40.702106,-73.936153,26
754,49716,322143.0,368,LAFAYETTE AVENUE,Brooklyn,11238.0,40.688772,-73.96087299999999,8
755,49716,329197.0,72,LOTT STREET,Brooklyn,11226.0,40.647749,-73.95420899999999,4
756,49716,329199.0,74,LOTT STREET,Brooklyn,11226.0,40.647708,-73.95420899999999,4
757,49716,351171.0,165,PARK AVENUE,Brooklyn,11205.0,40.696228000000005,-73.972831,9
758,49716,388933.0,802,WASHINGTON AVENUE,Brooklyn,11238.0,40.673995,-73.963041,12
759,49716,388945.0,840,WASHINGTON AVENUE,Brooklyn,11238.0,40.673037,-73.96285400000001,13
760,58965,969652.0,3003,WEST 21 STREET,Brooklyn,11224.0,40.574252,-73.98756,134
761,65115,387813.0,116,WALTON STREET,Brooklyn,11206.0,40.702999,-73.948065,1
762,65141,968921.0,44,STANHOPE STREET,Brooklyn,11221.0,40.695784,-73.92525,4
763,57533,355186.0,1238,PRESIDENT STREET,Brooklyn,11225.0,40.667965,-73.948817,238
764,55205,966091.0,1036,DEAN STREET,Brooklyn,11238.0,40.677659999999996,-73.955919,24
765,58823,381604.0,303,TOMPKINS AVENUE,Brooklyn,11216.0,40.68761,-73.94475200000001,5
766,65119,375598.0,303,STANHOPE STREET,Brooklyn,11237.0,40.702523,-73.918657,2
767,60431,221264.0,280,EAST 91 STREET,Brooklyn,11212.0,40.657933,-73.92438100000001,31
